level	processor
99	CPU Processor 0x1d00080000000001
104	Utility Processor 0x1d00090000000000
106	CPU Processor 0x1d00090000000001
111	Utility Processor 0x1d000a0000000000
113	CPU Processor 0x1d000a0000000001
118	Utility Processor 0x1d000b0000000000
120	CPU Processor 0x1d000b0000000001
125	Utility Processor 0x1d000c0000000000
127	CPU Processor 0x1d000c0000000001
132	Utility Processor 0x1d000d0000000000
134	CPU Processor 0x1d000d0000000001
139	Utility Processor 0x1d000e0000000000
141	CPU Processor 0x1d000e0000000001
146	Utility Processor 0x1d000f0000000000
4	Utility Processor 0x1d00000000000000
6	CPU Processor 0x1d00000000000001
47	Utility Processor 0x1d00010000000000
50	CPU Processor 0x1d00010000000001
55	Utility Processor 0x1d00020000000000
57	CPU Processor 0x1d00020000000001
62	Utility Processor 0x1d00030000000000
64	CPU Processor 0x1d00030000000001
69	Utility Processor 0x1d00040000000000
71	CPU Processor 0x1d00040000000001
76	Utility Processor 0x1d00050000000000
78	CPU Processor 0x1d00050000000001
83	Utility Processor 0x1d00060000000000
148	CPU Processor 0x1d000f0000000001
85	CPU Processor 0x1d00060000000001
90	Utility Processor 0x1d00070000000000
92	CPU Processor 0x1d00070000000001
97	Utility Processor 0x1d00080000000000
151	System Memory 0x1e00000000000000
193	System Memory 0x1e000e0000000000
163	System Memory 0x1e00040000000000
172	System Memory 0x1e00070000000000
178	System Memory 0x1e00090000000000
190	System Memory 0x1e000d0000000000
181	System Memory 0x1e000a0000000000
166	System Memory 0x1e00050000000000
154	System Memory 0x1e00010000000000
196	System Memory 0x1e000f0000000000
157	System Memory 0x1e00020000000000
175	System Memory 0x1e00080000000000
187	System Memory 0x1e000c0000000000
184	System Memory 0x1e000b0000000000
160	System Memory 0x1e00030000000000
169	System Memory 0x1e00060000000000
